Date,Value
1970-01-01,97.85
1970-01-08,104.64
1970-01-15,94.36
1970-01-22,98.05
1970-01-29,95.85
1970-02-05,95.98
1970-02-12,88.63
1970-02-19,90.85
1970-02-26,92.06
1970-03-05,88.75
1970-03-12,94.6
1970-03-19,92.86
1970-03-26,98.02
1970-04-02,87.64
1970-04-09,97.4
1970-04-16,83.24
1970-04-23,86.6
1970-04-30,90.69
1970-05-07,82.86
1970-05-14,99.06
1970-05-21,81.0
1970-05-28,93.18
1970-06-04,86.86
1970-06-11,89.35
1970-06-18,87.13
1970-06-25,88.39
1970-07-02,85.38
1970-07-09,83.96
1970-07-16,84.95
1970-07-23,86.81
1970-07-30,85.25
1970-08-06,94.72
1970-08-13,90.96
1970-08-20,87.73
1970-08-27,92.58
1970-09-03,87.02
1970-09-10,92.68
1970-09-17,97.95
1970-09-24,94.19
1970-10-01,93.95
1970-10-08,92.29
1970-10-15,93.48
1970-10-22,97.41
1970-10-29,96.98
1970-11-05,106.6
1970-11-12,112.41
1970-11-19,118.59
1970-11-26,107.9
1970-12-03,111.82
1970-12-10,102.78
1970-12-17,100.63
1970-12-24,106.54
1970-12-31,105.39
1971-01-07,104.99
1971-01-14,102.72
1971-01-21,104.67
1971-01-28,103.3
1971-02-04,98.46
1971-02-11,100.78
1971-02-18,94.43
1971-02-25,92.16
1971-03-04,92.13
1971-03-11,95.04
1971-03-18,86.88
1971-03-25,95.29
1971-04-01,85.39
1971-04-08,92.63
1971-04-15,88.72
1971-04-22,87.09
1971-04-29,83.92
1971-05-06,89.01
1971-05-13,78.14
1971-05-20,92.84
1971-05-27,88.65
1971-06-03,86.66
1971-06-10,82.04
1971-06-17,105.15
1971-06-24,94.19
1971-07-01,83.99
1971-07-08,88.22
1971-07-15,85.59
1971-07-22,99.21
1971-07-29,87.77
1971-08-05,90.39
1971-08-12,82.25
1971-08-19,102.92
1971-08-26,86.84
1971-09-02,97.22
1971-09-09,94.97
1971-09-16,104.86
1971-09-23,80.53
1971-09-30,102.47
1971-10-07,97.8
1971-10-14,95.28
1971-10-21,105.64
1971-10-28,106.44
1971-11-04,110.65
1971-11-11,114.41
1971-11-18,115.98
1971-11-25,112.72
1971-12-02,115.99
1971-12-09,104.14
1971-12-16,109.3
1971-12-23,111.47
1971-12-30,102.67
1972-01-06,101.34
1972-01-13,94.97
1972-01-20,90.48
1972-01-27,93.7
1972-02-03,81.87
1972-02-10,91.12
1972-02-17,90.55
1972-02-24,89.62
1972-03-02,91.63
1972-03-09,89.22
1972-03-16,84.81
1972-03-23,95.0
1972-03-30,83.77
1972-04-06,98.26
1972-04-13,82.87
1972-04-20,85.51
1972-04-27,84.67
1972-05-04,84.45
1972-05-11,93.96
1972-05-18,82.47
1972-05-25,89.18
1972-06-01,87.33
1972-06-08,92.67
1972-06-15,93.83
1972-06-22,86.65
1972-06-29,89.35
1972-07-06,77.97
1972-07-13,86.06
1972-07-20,83.34
1972-07-27,87.35
1972-08-03,90.58
1972-08-10,84.72
1972-08-17,88.32
1972-08-24,82.62
1972-08-31,92.52
1972-09-07,86.73
1972-09-14,99.54
1972-09-21,95.5
1972-09-28,92.34
1972-10-05,97.49
1972-10-12,97.9
1972-10-19,97.54
1972-10-26,103.78
1972-11-02,110.17
1972-11-09,116.04
1972-11-16,132.04
1972-11-23,126.95
1972-11-30,121.11
1972-12-07,119.3
1972-12-14,118.2
1972-12-21,102.36
1972-12-28,98.44
1973-01-04,97.87
1973-01-11,92.98
1973-01-18,96.16
1973-01-25,86.83
1973-02-01,91.09
1973-02-08,92.5
1973-02-15,90.64
1973-02-22,80.69
1973-03-01,99.91
1973-03-08,89.09
1973-03-15,94.25
1973-03-22,93.33
1973-03-29,84.08
1973-04-05,86.37
1973-04-12,86.61
1973-04-19,82.47
1973-04-26,82.73
1973-05-03,98.29
1973-05-10,87.02
1973-05-17,91.13
1973-05-24,80.23
1973-05-31,81.36
1973-06-07,82.8
1973-06-14,87.24
1973-06-21,79.37
1973-06-28,86.83
1973-07-05,82.0
1973-07-12,77.96
1973-07-19,79.69
1973-07-26,87.32
1973-08-02,85.33
1973-08-09,92.02
1973-08-16,84.03
1973-08-23,83.45
1973-08-30,82.35
1973-09-06,89.17
1973-09-13,82.24
1973-09-20,93.35
1973-09-27,89.16
1973-10-04,95.13
1973-10-11,89.1
1973-10-18,100.32
1973-10-25,95.61
1973-11-01,99.61
1973-11-08,105.82
1973-11-15,104.2
1973-11-22,95.45
1973-11-29,90.48
1973-12-06,93.58
1973-12-13,91.71
1973-12-20,95.29
1973-12-27,94.69
1974-01-03,102.5
1974-01-10,98.58
1974-01-17,107.12
1974-01-24,99.29
1974-01-31,96.85
1974-02-07,89.02
1974-02-14,96.27
1974-02-21,97.55
1974-02-28,85.16
1974-03-07,94.77
1974-03-14,85.45
1974-03-21,97.46
1974-03-28,83.31
1974-04-04,91.41
1974-04-11,88.84
1974-04-18,86.44
1974-04-25,82.08
1974-05-02,83.63
1974-05-09,95.22
1974-05-16,80.28
1974-05-23,85.59
1974-05-30,84.68
1974-06-06,81.53
1974-06-13,89.2
1974-06-20,74.51
1974-06-27,81.85
1974-07-04,81.97
1974-07-11,85.01
1974-07-18,86.98
1974-07-25,81.67
1974-08-01,91.11
1974-08-08,83.38
1974-08-15,86.18
1974-08-22,89.93
1974-08-29,91.82
1974-09-05,92.27
1974-09-12,89.29
1974-09-19,85.41
1974-09-26,96.78
1974-10-03,83.6
1974-10-10,98.63
1974-10-17,90.86
1974-10-24,94.36
1974-10-31,97.52
1974-11-07,108.68
1974-11-14,107.23
1974-11-21,107.08
1974-11-28,113.39
1974-12-05,105.51
1974-12-12,111.9
1974-12-19,110.44
1974-12-26,95.42
1975-01-02,97.78
1975-01-09,90.38
1975-01-16,86.89
1975-01-23,91.59
1975-01-30,85.51
1975-02-06,88.16
1975-02-13,87.03
1975-02-20,88.61
1975-02-27,96.96
1975-03-06,80.03
1975-03-13,80.53
1975-03-20,76.46
1975-03-27,78.85
1975-04-03,87.03
1975-04-10,82.27
1975-04-17,78.92
1975-04-24,72.75
1975-05-01,77.75
1975-05-08,83.79
1975-05-15,82.13
1975-05-22,76.42
1975-05-29,74.58
1975-06-05,79.61
1975-06-12,76.52
1975-06-19,79.27
1975-06-26,74.7
1975-07-03,75.49
1975-07-10,82.82
1975-07-17,80.29
1975-07-24,80.05
1975-07-31,78.64
1975-08-07,79.4
1975-08-14,71.02
1975-08-21,73.55
1975-08-28,79.6
1975-09-04,85.08
1975-09-11,90.14
1975-09-18,82.26
1975-09-25,86.75
1975-10-02,90.11
1975-10-09,94.86
1975-10-16,89.68
1975-10-23,90.16
1975-10-30,85.73
1975-11-06,96.82
1975-11-13,100.37
1975-11-20,93.43
1975-11-27,94.12
1975-12-04,89.26
1975-12-11,91.81
1975-12-18,97.4
1975-12-25,102.71
1976-01-01,101.94
1976-01-08,97.4
1976-01-15,96.12
1976-01-22,105.45
1976-01-29,94.34
1976-02-05,92.51
1976-02-12,88.47
1976-02-19,85.47
1976-02-26,85.7
1976-03-04,84.48
1976-03-11,85.63
1976-03-18,79.67
1976-03-25,80.78
1976-04-01,74.58
1976-04-08,76.32
1976-04-15,80.37
1976-04-22,83.3
1976-04-29,82.98
1976-05-06,91.34
1976-05-13,78.57
1976-05-20,76.68
1976-05-27,76.47
1976-06-03,73.66
1976-06-10,78.61
1976-06-17,83.4
1976-06-24,71.96
1976-07-01,77.17
1976-07-08,72.38
1976-07-15,79.52
1976-07-22,72.05
1976-07-29,75.86
1976-08-05,74.32
1976-08-12,77.7
1976-08-19,82.99
1976-08-26,77.79
1976-09-02,77.42
1976-09-09,85.55
1976-09-16,85.33
1976-09-23,82.16
1976-09-30,83.74
1976-10-07,84.4
1976-10-14,90.32
1976-10-21,82.74
1976-10-28,91.5
1976-11-04,96.23
1976-11-11,92.9
1976-11-18,92.3
1976-11-25,91.76
1976-12-02,92.34
1976-12-09,78.91
1976-12-16,88.06
1976-12-23,81.91
1976-12-30,79.68
1977-01-06,83.2
1977-01-13,84.05
1977-01-20,85.8
1977-01-27,84.39
1977-02-03,91.74
1977-02-10,90.65
1977-02-17,89.67
1977-02-24,86.24
1977-03-03,91.46
1977-03-10,83.3
1977-03-17,83.05
1977-03-24,74.14
1977-03-31,90.12
1977-04-07,83.84
1977-04-14,79.94
1977-04-21,74.65
1977-04-28,77.89
1977-05-05,78.06
1977-05-12,74.96
1977-05-19,77.9
1977-05-26,73.65
1977-06-02,79.32
1977-06-09,82.91
1977-06-16,79.48
1977-06-23,73.21
1977-06-30,76.46
1977-07-07,73.76
1977-07-14,68.11
1977-07-21,76.53
1977-07-28,68.46
1977-08-04,72.84
1977-08-11,79.92
1977-08-18,73.26
1977-08-25,79.55
1977-09-01,77.02
1977-09-08,78.39
1977-09-15,81.86
1977-09-22,88.2
1977-09-29,75.69
1977-10-06,88.85
1977-10-13,82.52
1977-10-20,87.44
1977-10-27,82.91
1977-11-03,92.84
1977-11-10,91.85
1977-11-17,89.82
1977-11-24,96.84
1977-12-01,99.56
1977-12-08,105.1
1977-12-15,95.7
1977-12-22,93.46
1977-12-29,99.27
1978-01-05,90.39
1978-01-12,85.85
1978-01-19,86.69
1978-01-26,92.94
1978-02-02,86.63
1978-02-09,89.78
1978-02-16,83.22
1978-02-23,86.04
1978-03-02,81.53
1978-03-09,77.46
1978-03-16,76.63
1978-03-23,82.09
1978-03-30,81.22
1978-04-06,70.96
1978-04-13,80.17
1978-04-20,78.48
1978-04-27,76.8
1978-05-04,77.63
1978-05-11,74.31
1978-05-18,76.3
1978-05-25,85.97
1978-06-01,73.07
1978-06-08,76.29
1978-06-15,75.21
1978-06-22,79.18
1978-06-29,78.25
1978-07-06,77.24
1978-07-13,81.55
1978-07-20,75.46
1978-07-27,76.86
1978-08-03,88.43
1978-08-10,92.93
1978-08-17,77.65
1978-08-24,78.74
1978-08-31,73.63
1978-09-07,82.11
1978-09-14,80.81
1978-09-21,84.34
1978-09-28,83.48
1978-10-05,76.4
1978-10-12,92.77
1978-10-19,88.09
1978-10-26,96.2
1978-11-02,100.28
1978-11-09,107.58
1978-11-16,93.73
1978-11-23,87.33
1978-11-30,88.11
1978-12-07,88.07
1978-12-14,100.81
1978-12-21,95.52
1978-12-28,91.14
1979-01-04,85.67
1979-01-11,88.24
1979-01-18,88.61
1979-01-25,85.64
1979-02-01,87.29
1979-02-08,83.92
1979-02-15,89.15
1979-02-22,87.61
1979-03-01,81.99
1979-03-08,84.86
1979-03-15,81.17
1979-03-22,87.33
1979-03-29,86.4
1979-04-05,85.9
1979-04-12,79.01
1979-04-19,83.49
1979-04-26,87.88
1979-05-03,74.94
1979-05-10,80.32
1979-05-17,81.75
1979-05-24,78.68
1979-05-31,74.62
1979-06-07,74.16
1979-06-14,71.5
1979-06-21,75.89
1979-06-28,74.89
1979-07-05,77.36
1979-07-12,73.63
1979-07-19,81.17
1979-07-26,83.91
1979-08-02,82.36
1979-08-09,79.74
1979-08-16,73.46
1979-08-23,79.03
1979-08-30,76.56
1979-09-06,78.52
1979-09-13,89.43
1979-09-20,85.49
